ì˙ït,ójì˙_x,ë‰îÑè„çáåv,ë‰îÑè„,ë‰ëeóòçáåv,ë‰ëeóò,ë≈çû,ëçë≈çû,óòâvó¶,óLå¯S,ì¸è‹S1,BA,MY,èoã ó¶,ãqëÿó¶,ã íPâø,ã óò,äÑêî,èüó¶,åiïiäzïΩãœ,ë‰êî,å≥ÉtÉ@ÉCÉã,ójì˙_y,ïΩãœãCâ∑,ç≈çÇãCâ∑,ç≈í·ãCâ∑,ì˙è∆éûä‘(éûä‘),ïΩãœåªínãCà≥(hPa),ç≈ëÂïóë¨(m/s),ç≈ëÂïóë¨(m/s).2,ïΩãœïóë¨(m/s),ç~êÖó 
2023/1/12,ñÿ,9998300,18515,1706345,3160,21157,11424860,0.1707,5.69,5.98,85.51,10629,0.9586,1.5666,0.875,0.149,8.95,0.3759,16571,540,2023,ñÿ,12,19.4,4.6,7.1,1023.3,6.2,ìÏìå,2.9,0
2023/1/13,ã‡,9447500,17495,2514811,4657,19853,10720780,0.2662,5.59,5.88,85.31,10227,0.9212,1.6112,0.881,0.235,7.99,0.3537,13983,540,2023,ã‡,13.9,17.1,10.5,0,1017,3.7,êºñkêº,1.9,4
2023/1/14,ìy,12822900,23746,1462641,2709,26984,14571140,0.1141,5.63,5.89,84.94,13226,0.9784,1.695,0.88,0.1,9.41,0.4259,22350,540,2023,ìy,16.9,18.9,14.8,0,1006.9,3.5,ìÏêº,1.4,26
2023/1/15,ì˙,13251000,24539,2749021,5091,26813,14478890,0.2075,5.63,5.93,85.03,12943,0.953,1.6122,0.915,0.19,8.79,0.413,21580,540,2023,ì˙,15.1,16.9,12.9,0,1008.9,6,êº,1.7,2
2023/1/16,åé,9063400,16784,899448,1666,19108,10318250,0.0992,5.62,5.89,85.35,10384,0.9922,1.5834,0.878,0.087,9.8,0.4056,16446,540,2023,åé,10.2,13.1,4.9,9.1,1013.6,9.3,êº,5.7,0.5
2023/1/17,âŒ,8052300,14912,1062940,1968,16758,9049240,0.132,5.61,5.89,85.96,9462,0.9748,1.5628,0.89,0.117,9.37,0.4056,13967,540,2023,âŒ,8.4,14.7,3.5,6,1019.5,6,ñkêº,2.8,0
2023/1/18,êÖ,8609300,15943,1991847,3689,17388,9389710,0.2314,5.63,5.9,85.3,9314,0.9443,1.5139,0.917,0.212,8.65,0.35,13785,540,2023,êÖ,9.1,14.2,6.2,8.4,1019.7,7.1,êº,4.3,0
2023/1/19,ñÿ,8530200,15797,1165305,2158,18233,9845920,0.1366,5.62,5.9,86.07,9606,0.9652,1.537,0.866,0.118,9.14,0.3685,14431,540,2023,ñÿ,7,12.3,2.5,3.6,1021.5,5.2,êº,2.5,0
2023/1/20,ã‡,8677600,16070,1850465,3427,18828,10167120,0.2132,5.62,5.9,85.61,9556,0.9446,1.5449,0.853,0.182,8.62,0.3574,13854,540,2023,ã‡,8.3,16.2,2.6,7.1,1021.2,8.6,êº,4,0
2023/1/21,ìy,12118700,22442,2371292,4391,25421,13727570,0.1957,5.61,5.89,84.81,12617,0.9654,1.6385,0.883,0.173,9.09,0.4148,20392,540,2023,ìy,5.9,12.1,0.3,9.2,1024.3,4.7,ìåìÏìå,2.1,0
2023/1/22,ì˙,12551500,23244,2464459,4564,25392,13711830,0.1963,5.58,5.86,86.11,12624,0.9629,1.6628,0.915,0.18,9.02,0.4148,20957,540,2023,ì˙,6.5,12.3,1,2,1021.7,5,êºñkêº,2.1,5.5
2023/1/24,âŒ,11789900,21833,1796168,3326,24085,13006030,0.1523,5.58,5.84,85.04,12313,0.9564,1.5495,0.906,0.138,8.92,0.3796,19466,540,2023,âŒ,4.7,9.3,-1.2,6.5,1014.5,15,êºñkêº,7.4,0
2023/1/25,êÖ,9342500,17301,1939494,3592,18373,9921450,0.2076,5.58,5.83,86.91,10069,0.9525,1.5279,0.942,0.195,8.84,0.3704,15292,540,2023,êÖ,0.9,6.4,-3.1,10.1,1023.9,7.4,êºñkêº,3.3,0
2023/1/26,ñÿ,10627700,19681,2020148,3741,21853,11800400,0.1901,5.64,5.9,85.21,10945,0.9599,1.5713,0.901,0.171,9,0.3944,17713,540,2023,ñÿ,5.6,13,-0.6,7.1,1021.5,6.6,ìåñkìå,2.5,0
2023/1/27,ã‡,11078400,20516,2488781,4609,21488,11603610,0.2247,5.58,5.84,84.65,11142,0.9477,1.5359,0.955,0.214,8.72,0.3648,17897,540,2023,ã‡,5.7,9.9,2,2.3,1012.7,10.5,êºñkêº,4.4,5
2023/1/28,ìy,12487600,23125,1686930,3124,26497,14308560,0.1351,5.59,5.87,86.56,12940,0.9743,1.6923,0.873,0.118,9.31,0.4185,21533,540,2023,ìy,2.8,7.8,-1.1,10.1,1017.1,8.9,êº,4.8,0
2023/1/29,ì˙,12662000,23448,2745618,5084,27109,14638610,0.2168,5.63,5.92,85.72,12931,0.9541,1.7178,0.865,0.188,8.75,0.4,20511,540,2023,ì˙,3.9,10.5,-1.9,3.4,1018.6,8.8,êºñkêº,3.1,0
2023/1/30,åé,9644300,17860,2073978,3841,19411,10481680,0.215,5.58,5.85,84.81,10254,0.9486,1.5796,0.92,0.198,8.71,0.35,15564,540,2023,åé,7.7,13.1,3.4,10.1,1017.8,8.1,êº,3.8,0
2023/1/31,âŒ,9373500,17358,1636642,3031,19023,10272240,0.1746,5.56,5.82,85.89,10380,0.9455,1.527,0.913,0.159,8.68,0.3778,15074,540,2023,âŒ,6.6,14.8,-0.1,10.2,1019.3,5.6,ìåìÏìå,3.2,0
2023/2/1,êÖ,8600200,15926,2277046,4217,18614,10051290,0.2648,5.55,5.8,85.12,9681,0.9254,1.5387,0.856,0.227,8.18,0.3333,13034,540,2023,êÖ,11,20.4,2,5.9,1015.3,12.3,êº,4.3,0
2023/2/2,ñÿ,8890300,16464,1838734,3405,19104,10315900,0.2068,5.57,5.81,84.69,9985,0.9596,1.582,0.862,0.178,8.97,0.3907,14764,540,2023,ñÿ,11.6,14.2,8.6,5.5,1017.6,5.9,ìå,3.2,0
2023/2/3,ã‡,8575400,15880,1109728,2055,18134,9792320,0.1294,5.56,5.81,84.57,10217,0.9823,1.5539,0.876,0.113,9.56,0.3685,15183,540,2023,ã‡,8.8,14.1,6,1.5,1017.4,6.7,êº,1.8,0
2023/2/4,ìy,13504800,25009,3453097,6395,27336,14761370,0.2557,5.53,5.79,85.93,13417,0.9433,1.6576,0.915,0.234,8.52,0.3796,21304,540,2023,ìy,8.9,15.1,3.3,5.1,1018.6,5.3,êºñkêº,2.7,0
2023/2/5,ì˙,13739700,25444,3578154,6626,27890,15060390,0.2604,5.55,5.81,84.99,13545,0.9359,1.6595,0.912,0.238,8.32,0.3907,21178,540,2023,ì˙,8.5,13.3,4.8,7.8,1021.4,4.2,ñkêº,2.4,0
2023/2/6,åé,12680300,23482,2584432,4786,25386,13708240,0.2038,5.55,5.81,84.22,12833,0.9579,1.5797,0.925,0.189,8.95,0.3852,21020,540,2023,åé,8.4,11.2,5.8,0,1019.1,3.5,ñkêº,1.8,21.5
2023/2/8,êÖ,8889100,16461,633581,1173,19753,10666800,0.0713,5.54,5.79,85.56,10628,0.9956,1.6169,0.833,0.059,9.89,0.413,16275,540,2023,êÖ,11.6,15.7,8.9,8.2,1019.1,4.4,ìå,2.1,0
2023/2/9,ñÿ,10150500,18797,1879790,3481,21901,11826530,0.1852,5.67,5.95,84.94,11159,0.9784,1.626,0.858,0.159,9.44,0.3796,17741,540,2023,ñÿ,9.8,13.6,5.6,1.1,1023.4,5.3,ìåñkìå,2.4,16
2023/2/10,ã‡,11432500,21171,2995760,5548,23247,12553330,0.262,5.57,5.81,85.51,11481,0.9345,1.6212,0.911,0.239,8.33,0.3407,17640,540,2023,ã‡,13.6,17.1,9.8,0.1,1012.6,8.9,ìåìÏìå,3.3,48
2023/2/11,ìy,14852900,27505,2694470,4990,30561,16502700,0.1814,5.6,5.85,85.35,14462,0.9719,1.7248,0.9,0.163,9.23,0.4315,25401,540,2023,ìy,9.9,14.3,5,1.1,1018.9,3.7,ìåñkìå,1.9,0
2023/2/12,ì˙,13169500,24388,2727906,5052,27390,14790560,0.2071,5.57,5.82,84.17,13193,0.9431,1.6857,0.89,0.184,8.49,0.3648,20715,540,2023,ì˙,13.1,17.5,8.9,1.8,1017.8,4.8,ñkìå,2.2,27.5
2023/2/13,åé,8970400,16612,1506967,2791,20188,10901530,0.168,5.55,5.78,84.33,10521,0.9721,1.6364,0.823,0.138,9.28,0.4,15411,540,2023,åé,14.3,15.9,10.7,0,1006.8,6.6,ñkñkìå,2.6,16.5
2023/2/14,âŒ,8482600,15709,1323601,2451,19155,10343590,0.156,5.57,5.81,85.1,10280,0.9646,1.5649,0.82,0.128,9.11,0.3685,14311,540,2023,âŒ,9.8,12.6,6.4,9.3,1014.9,5.6,ìå,2.7,0
2023/2/15,êÖ,10114300,18730,1937424,3588,21349,11528510,0.1916,5.56,5.79,84.07,10998,0.9571,1.5601,0.877,0.168,8.93,0.3611,16728,540,2023,êÖ,6.2,10.2,2.3,9.6,1022.5,6.8,ìåñkìå,3.7,0
2023/2/16,ñÿ,9432600,17468,1328371,2460,20189,10901970,0.1408,5.54,5.8,84.82,10360,0.9661,1.5652,0.865,0.122,9.15,0.3685,15989,540,2023,ñÿ,5.5,10.5,0.8,10.5,1028,4.6,ìå,2.4,0
2023/2/17,ã‡,10146600,18790,1366058,2530,22651,12231610,0.1346,5.57,5.81,84.26,11312,0.9713,1.6079,0.83,0.112,9.26,0.3667,17403,540,2023,ã‡,8.8,15.1,2.2,7.6,1026.9,5.5,êºñkêº,2.8,0
2023/2/18,ìy,13841200,25632,2643312,4895,29535,15949110,0.191,5.54,5.79,83.74,14066,0.9433,1.6465,0.868,0.166,8.52,0.3648,21843,540,2023,ìy,15.4,22.7,8.6,5,1021.5,5.7,êº,2.9,0
2023/2/19,ì˙,15863400,29377,3784487,7008,30913,16693170,0.2386,5.52,5.76,84.52,14638,0.9248,1.6293,0.95,0.227,8.09,0.3722,23760,540,2023,ì˙,16.2,20.6,10.6,3.3,1013.4,10.1,êº,6.3,0
2023/2/20,åé,12465900,23085,2589948,4796,25309,13666620,0.2078,5.55,5.8,84.53,12707,0.9766,1.5845,0.912,0.19,9.41,0.4185,21719,540,2023,åé,10.6,17,6.4,6.5,1017.8,8.2,êºìÏêº,4.2,0
2023/2/22,êÖ,9637600,17847,1891500,3503,21274,11488200,0.1963,5.56,5.8,84,10537,0.9515,1.6355,0.839,0.165,8.73,0.3759,15585,540,2023,êÖ,7.5,12.4,1.8,8.2,1027.5,4.4,ñkìå,2.6,0
2023/2/23,ñÿ,14644900,27120,3296467,6105,30373,16401190,0.2251,5.62,5.9,84.31,14412,0.9326,1.6676,0.893,0.201,8.23,0.3833,22312,540,2023,ñÿ,10.7,13.5,8,0,1020.3,3.8,êºñkêº,1.7,1.5
2023/2/24,ã‡,11117600,20588,2009336,3721,24088,13007280,0.1807,5.59,5.84,83.91,12057,0.9598,1.6245,0.855,0.154,8.96,0.4037,18441,540,2023,ã‡,9.9,10.9,6.5,0,1017.5,3.6,êºñkêº,1.4,22.5
2023/2/25,ìy,13345100,24713,1963246,3636,27958,15097340,0.1471,5.61,5.87,84.61,14049,0.9581,1.6673,0.884,0.13,8.9,0.3889,21996,540,2023,ìy,9.1,16.7,1.8,10.6,1022.6,7.4,êº,3.4,0
2023/2/26,ì˙,12992500,24060,3367883,6237,26651,14391540,0.2592,5.6,5.85,84.98,13120,0.9287,1.6794,0.903,0.234,8.11,0.3519,19524,540,2023,ì˙,7.2,12.2,1.7,10.5,1030,5,ìå,2.5,0
2023/2/27,åé,8896700,16475,1326804,2457,20169,10891100,0.1491,5.55,5.8,84.81,10121,0.9685,1.605,0.817,0.122,9.18,0.3889,15127,540,2023,åé,7.1,13.7,1.1,11,1032,4.7,ñkêº,2.9,0
2023/2/28,âŒ,9452200,17504,1972532,3653,19774,10677910,0.2087,5.55,5.79,83.69,10152,0.9506,1.5683,0.885,0.185,8.77,0.3556,15347,540,2023,âŒ,10.7,17.7,3.3,10.9,1028,6.2,ìÏìÏìå,3.3,0
2023/3/1,êÖ,9128400,16904,1829026,3387,19723,10650340,0.2004,5.57,5.8,85.18,10300,0.9514,1.5734,0.857,0.172,8.77,0.3463,14832,540,2023,êÖ,14,21.2,7,7.1,1020,7.3,êºìÏêº,3.2,0
2023/3/2,ñÿ,9317800,17255,1606423,2975,20784,11223190,0.1724,5.57,5.81,85.32,10582,0.9696,1.6103,0.83,0.143,9.22,0.3944,15903,540,2023,ñÿ,11.6,15.8,6.3,10.8,1019.1,8,êº,4.3,0
2023/3/3,ã‡,10065100,18639,1872870,3468,21767,11754300,0.1861,5.55,5.79,84.06,11108,0.9486,1.5939,0.856,0.159,8.7,0.3889,16222,540,2023,ã‡,8.2,13.7,2.2,9.8,1024.9,4.9,ìåìÏìå,2.5,0
2023/3/4,ìy,13385300,24788,2474599,4583,27595,14901180,0.1849,5.57,5.82,83.76,13024,0.9589,1.6654,0.898,0.166,8.91,0.4074,22087,540,2023,ìy,10,14,5.9,0,1024.3,4.2,ñkìå,2.1,0
2023/3/5,ì˙,12983100,24043,1266013,2344,27552,14878170,0.0975,5.55,5.8,84.76,13722,0.9798,1.6462,0.873,0.085,9.47,0.4037,22774,540,2023,ì˙,10.4,16.6,4.1,10.5,1023.1,4.5,ìåìÏìå,2.9,0
2023/3/6,åé,13962100,25856,3394673,6286,27072,14619100,0.2431,5.53,5.75,84.52,13004,0.952,1.5679,0.955,0.232,8.81,0.3778,22769,540,2023,åé,12.1,19,5.6,9.6,1021.6,5.2,ìÏìå,2.9,0
2023/3/8,êÖ,9025900,16715,1634516,3027,19297,10420200,0.1811,5.52,5.75,85.18,10140,0.9667,1.5776,0.866,0.157,9.16,0.3574,15319,540,2023,êÖ,14.4,20.9,6.5,10.6,1021.4,5.7,ìÏìå,2.9,0
2023/3/9,ñÿ,10890200,20167,1519631,2814,22765,12293120,0.1395,5.55,5.79,84.35,12147,0.9892,1.6355,0.886,0.124,9.72,0.4259,19600,540,2023,ñÿ,13.1,16.9,9.9,0.2,1018.7,5.7,êºñkêº,2.5,6.5
2023/3/10,ã‡,9938600,18405,2626293,4864,20496,11067860,0.2643,5.52,5.73,83.74,10463,0.9368,1.5683,0.898,0.237,8.43,0.3389,15516,540,2023,ã‡,15.3,21.1,10.1,10.4,1019.1,5.6,ñkêº,3.1,0
2023/3/11,ìy,11856000,21956,2278379,4219,25499,13769580,0.1922,5.53,5.75,84.78,12728,0.9559,1.6671,0.861,0.165,8.84,0.3685,19418,540,2023,ìy,15.8,22.3,9.3,10.4,1022.2,5.8,ìåìÏìå,2.9,0
2023/3/12,ì˙,12436700,23031,1592951,2950,26037,14059840,0.1281,5.51,5.73,84.25,13240,0.9729,1.657,0.885,0.113,9.29,0.4259,21390,540,2023,ì˙,16.3,22,10.6,4.9,1019.2,8.5,êº,3,1
2023/3/13,åé,9746000,18048,1725070,3195,20396,11014070,0.177,5.5,5.72,84.24,10851,0.9604,1.5784,0.885,0.157,9,0.3519,16244,540,2023,åé,11.9,16.1,7.4,8.3,1016.8,9.6,êº,4.3,0
2023/3/14,âŒ,8678500,16071,1357629,2514,18387,9928990,0.1564,5.5,5.73,84.18,10048,0.9531,1.5815,0.874,0.137,8.82,0.3704,14177,540,2023,âŒ,10.2,16.4,3.4,11.6,1020.3,4.4,êºñkêº,2.8,0
2023/3/15,êÖ,8435900,15622,1962320,3634,18930,10221960,0.2326,5.49,5.71,83.15,9369,0.9388,1.5566,0.825,0.192,8.48,0.3333,13254,540,2023,êÖ,13.6,20.7,6.2,6.7,1022.8,6.3,ìåìÏìå,3.1,0
2023/3/16,ñÿ,8135100,15065,707410,1310,17074,9220120,0.087,5.47,5.7,84.98,9571,0.9852,1.5955,0.882,0.077,9.62,0.3759,14498,540,2023,ñÿ,16.5,23.2,9.7,7.6,1021.7,6.3,ìÏìå,2.7,0
2023/3/17,ã‡,9067000,16791,817636,1514,20593,11120400,0.0902,5.47,5.68,83.92,10792,0.9834,1.6174,0.815,0.074,9.57,0.4074,16064,540,2023,ã‡,15,17.7,12.9,0,1017.4,5.1,ìåñkìå,2.4,20
2023/3/18,ìy,12061800,22337,2526094,4678,24823,13404570,0.2094,5.46,5.68,84.36,12775,0.9585,1.624,0.9,0.188,8.94,0.3685,19962,540,2023,ìy,15.4,19.6,11.5,4.2,1011.1,5.7,ìå,2.7,26.5
2023/3/19,ì˙,11584800,21453,2481623,4596,24678,13326120,0.2142,5.47,5.7,84.4,12494,0.9545,1.6421,0.869,0.186,8.82,0.3944,18916,540,2023,ì˙,12.9,18.9,7,11.3,1016.8,5.8,ìåñkìå,3.1,0
2023/3/20,åé,12393900,22952,962257,1782,25092,13549720,0.0776,5.46,5.69,84.06,12813,0.9769,1.5431,0.915,0.071,9.43,0.3778,21654,540,2023,åé,12.8,18.2,7.9,0.8,1016,4.7,ìåìÏìå,2.3,2
2023/3/21,âŒ,10551300,19539,1295168,2398,21991,11875080,0.1227,5.52,5.75,83.9,11585,0.9707,1.6395,0.889,0.109,9.24,0.3722,18054,540,2023,âŒ,15.5,18,13,0,1010.4,7.2,ñkìå,2.5,77.5
2023/3/23,ñÿ,11060200,20482,1326546,2457,23317,12591340,0.1199,5.47,5.69,84.63,11976,0.9567,1.5766,0.878,0.105,8.91,0.3796,18255,540,2023,ñÿ,20.8,26.3,18.1,1.9,1004.8,9.6,êºìÏêº,4.5,15
2023/3/24,ã‡,9499800,17592,2946695,5457,19199,10367700,0.3102,5.45,5.68,84.85,9790,0.9217,1.5966,0.916,0.284,8.05,0.3352,14159,540,2023,ã‡,19.8,25.3,18.1,2.7,1009.3,7.2,êºìÏêº,3.4,0
2023/3/25,ìy,12794100,23693,3175573,5881,25825,13945360,0.2482,5.45,5.66,84.71,13113,0.9496,1.6364,0.917,0.228,8.71,0.3981,20626,540,2023,ìy,17.3,19,15.5,0,1012.1,5.9,ñkìå,2.7,0
2023/3/26,ì˙,12911900,23911,3386544,6271,26037,14060230,0.2623,5.44,5.67,85.21,13087,0.9204,1.6077,0.918,0.241,8,0.3981,19118,540,2023,ì˙,14.8,17,12.8,0,1010.5,4.5,ñkìå,1.9,5
2023/3/27,åé,8043400,14895,1343027,2487,17858,9643110,0.167,5.46,5.67,84.7,9508,0.9476,1.5642,0.834,0.139,8.69,0.3611,12951,540,2023,åé,13.9,18.3,9.4,9,1016.3,5.3,ìå,2.9,0
2023/3/28,âŒ,7961000,14743,1699492,3147,16464,8890430,0.2135,5.49,5.69,84.69,9080,0.9503,1.5678,0.895,0.191,8.77,0.3574,12922,540,2023,âŒ,13.9,18.8,9.5,10.8,1020.4,5.6,ìåñkìå,2.8,0
2023/3/29,êÖ,7878900,14591,2037104,3772,16601,8964780,0.2586,5.49,5.71,84.27,8931,0.9175,1.5331,0.879,0.227,8,0.35,11673,540,2023,êÖ,13.7,19.6,7.5,10.2,1019.7,5.6,ìå,3.1,0
2023/3/30,ñÿ,9362300,17338,2308113,4274,19011,10265880,0.2465,5.48,5.7,84.72,10112,0.9301,1.5301,0.912,0.225,8.31,0.3667,14416,540,2023,ñÿ,14.1,17.7,8.9,0.9,1017.7,4.2,ìåñkìå,2.3,0
2023/3/31,ã‡,9070600,16797,1895741,3511,19334,10440580,0.209,5.46,5.68,86.08,10353,0.9595,1.6122,0.869,0.182,8.96,0.3611,15055,540,2023,ã‡,15,17.8,12.6,0,1015.5,6.5,ìåñkìå,1.9,4
2023/4/1,ìy,11757100,21772,1456296,2697,25343,13685160,0.1239,5.48,5.7,85.06,12527,0.9849,1.681,0.859,0.106,9.59,0.4,20888,540,2023,ìy,17.2,20.8,13.3,5.7,1013,5.7,ìåñkìå,2.9,0
2023/4/2,ì˙,11882500,22005,3096093,5734,24917,13455120,0.2606,5.52,5.73,84.59,12178,0.9373,1.6402,0.883,0.23,8.38,0.3463,18430,540,2023,ì˙,18.5,21.9,13.7,3.3,1011,7.7,ñkìå,4.3,0
2023/4/4,âŒ,11603800,21489,2367623,4384,23224,12540870,0.204,5.48,5.7,84.14,11958,0.9611,1.5612,0.925,0.189,9.04,0.3944,19419,540,2023,âŒ,18.1,21.7,13.3,7.2,1020.9,6.7,ìåìÏìå,4.1,1
2023/4/5,êÖ,7952700,14727,1496656,2772,17365,9377280,0.1882,5.5,5.72,84.4,9454,0.9348,1.5349,0.848,0.16,8.41,0.3463,12385,540,2023,êÖ,17.7,19.9,15.8,0,1017.7,6.5,ìåìÏìå,2.6,9
2023/4/6,ñÿ,4898300,9071,1246404,2308,11861,6404940,0.2545,5.44,5.68,84.68,6930,0.9346,1.5951,0.765,0.195,8.33,0.2722,7557,540,2023,ñÿ,18.4,22.1,15.6,0,1011.9,4.8,ìÏ,1.6,26.5
2023/4/7,ã‡,10345300,19158,2146693,3975,23268,12564810,0.2075,5.55,5.8,83.96,11379,0.9661,1.625,0.823,0.171,9.11,0.387,17451,540,2023,ã‡,17.4,20.8,12.9,4.4,1008.3,8.8,êº,4.1,41
2023/4/8,ìy,11752700,21764,3485016,6454,25339,13683170,0.2965,5.55,5.8,84.5,11713,0.914,1.6092,0.859,0.255,7.81,0.35,16987,540,2023,ìy,14.3,20,8.4,12,1014.8,8.3,êº,5.5,0
2023/4/9,ì˙,11728400,21719,3464402,6416,24154,13043280,0.2954,5.55,5.82,85.16,11893,0.9263,1.6216,0.899,0.266,8.11,0.363,17619,540,2023,ì˙,13,19.1,4.2,12.2,1018.9,6.6,ìÏìå,3.5,0
2023/4/10,åé,7706100,14271,2315195,4287,16866,9107520,0.3004,5.58,5.82,84.22,8752,0.9264,1.5498,0.846,0.254,8.16,0.3204,11647,540,2023,åé,16.3,24,7.9,10.5,1018,6.7,êºìÏêº,2.8,0
2023/4/11,âŒ,7477100,13846,2132903,3950,16235,8767030,0.2853,5.54,5.77,83.92,8782,0.9054,1.518,0.853,0.243,7.72,0.3222,10687,540,2023,âŒ,18.2,24.7,11.4,6.1,1016,6.5,ìÏ,3,0
2023/4/12,êÖ,8014100,14841,1050948,1946,16988,9173260,0.1311,5.53,5.75,84.39,9489,0.9788,1.5325,0.874,0.115,9.47,0.387,14061,540,2023,êÖ,18.7,25.9,14.9,3.3,1012.9,7.8,êº,2.8,0
2023/4/13,ñÿ,7752700,14357,1634323,3027,16508,8914150,0.2108,5.55,5.8,83.91,9086,0.9543,1.5219,0.87,0.183,8.89,0.3593,12756,540,2023,ñÿ,16,21,10.3,11.5,1017.4,4.9,ìåìÏìå,3,0
2023/4/14,ã‡,9696200,17956,2649467,4906,21619,11674180,0.2732,5.56,5.81,84.84,10680,0.9181,1.5935,0.831,0.227,7.92,0.3741,14218,540,2023,ã‡,15.5,19.3,12.3,0.3,1014.3,5.4,ìåñkìå,2.5,29.5
2023/4/15,ìy,16393600,30359,4020591,7446,32822,17723860,0.2453,5.62,5.9,84.12,15354,0.9454,1.7127,0.925,0.227,8.54,0.3833,25913,540,2023,ìy,18,24.1,15,1,1000.9,9.4,êº,3.9,31
2023/4/16,ì˙,11317200,20958,1115348,2065,25921,13997320,0.0986,5.58,5.84,85.22,12474,0.9695,1.6801,0.809,0.08,9.18,0.4185,19239,540,2023,ì˙,18.7,24.2,13.6,11.4,1003,11.6,êº,6.7,0
2023/4/18,âŒ,7840100,14519,1796941,3328,18505,9992740,0.2292,5.56,5.8,83.64,9494,0.9416,1.6029,0.785,0.18,8.49,0.3278,12326,540,2023,âŒ,19.2,28,10.4,10.9,1015.6,7.3,êºìÏêº,3.2,0
2023/4/19,êÖ,8083600,14970,1576484,2919,17930,9682360,0.195,5.52,5.76,83.77,9526,0.9384,1.5429,0.835,0.163,8.47,0.3389,12682,540,2023,êÖ,21.9,26,19.2,0.4,1010.5,4.5,êºìÏêº,2.4,0
2023/4/20,ñÿ,7048600,13053,1953625,3618,16427,8870360,0.2772,5.54,5.79,83.69,8589,0.9437,1.5734,0.795,0.22,8.58,0.3204,11197,540,2023,ñÿ,19.7,22.2,18.5,2.2,1008.5,6.3,ìå,3.8,0
2023/4/21,ã‡,7777900,14404,1008230,1867,17671,9542560,0.1296,5.52,5.76,84.41,9767,0.9841,1.5919,0.815,0.106,9.59,0.3759,13811,540,2023,ã‡,19.4,22.1,16.7,0.5,1005.6,6,ìåñkìå,2.9,1.5
2023/4/22,ìy,8497700,15736,1097187,2032,20207,10911710,0.1291,5.53,5.76,84.48,10349,0.9867,1.6279,0.779,0.101,9.65,0.3926,15180,540,2023,ìy,17.9,21.3,13.8,10.4,1010.5,7.8,ìåñkìå,4.1,0
