É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2025/06/04 17:48:18

,,ã{çË,ã{çË,ã{çË,ã{çË,ã{çË,ã{çË,ã{çË,ã{çË,ã{çË,ã{çË,ã{çË,ã{çË,ã{çË,ã{çË,ã{çË,ã{çË,ã{çË,ã{çË,ã{çË,ã{çË,ã{çË,ã{çË,ã{çË,ã{çË,ã{çË,ã{çË,ã{çË,ã{çË,ã{çË,ã{çË,ã{çË
2023/1/8,ì˙,6.4,8,1,13.9,8,1,0.1,8,1,9.4,0,8,1,1022.4,8,1,,0,1,5.5,8,ìåìÏìå,8,1,2.7,8,1,0,1,8,1
2023/1/9,åé,9.9,8,1,18.9,8,1,1.9,8,1,9.4,0,8,1,1021.1,8,1,,0,1,7.3,8,êºìÏêº,8,1,3.9,8,1,0,1,8,1
2023/1/10,âŒ,9.9,8,1,14.6,8,1,4.3,8,1,9.5,0,8,1,1022.8,8,1,,0,1,6.2,8,ìåñkìå,8,1,3.2,8,1,0,1,8,1
2023/1/11,êÖ,8.6,8,1,16.3,8,1,1.4,8,1,9.4,0,8,1,1024.4,8,1,,0,1,5.4,8,ìåìÏìå,8,1,2.9,8,1,0,1,8,1
2023/1/12,ñÿ,12.0,8,1,19.4,8,1,4.6,8,1,7.1,0,8,1,1023.3,8,1,,0,1,6.2,8,ìÏìå,8,1,2.9,8,1,0,1,8,1
2023/1/13,ã‡,13.9,8,1,17.1,8,1,10.5,8,1,0.0,0,8,1,1017.0,8,1,,0,1,3.7,8,êºñkêº,8,1,1.9,8,1,4.0,0,8,1
2023/1/14,ìy,16.9,8,1,18.9,8,1,14.8,8,1,0.0,0,8,1,1006.9,8,1,,0,1,3.5,8,ìÏêº,8,1,1.4,8,1,26.0,0,8,1
2023/1/15,ì˙,15.1,8,1,16.9,8,1,12.9,8,1,0.0,0,8,1,1008.9,8,1,,0,1,6.0,8,êº,8,1,1.7,8,1,2.0,0,8,1
2023/1/16,åé,10.2,8,1,13.1,8,1,4.9,8,1,9.1,0,8,1,1013.6,8,1,,0,1,9.3,8,êº,8,1,5.7,8,1,0.5,0,8,1
2023/1/17,âŒ,8.4,8,1,14.7,8,1,3.5,8,1,6.0,0,8,1,1019.5,8,1,,0,1,6.0,8,ñkêº,8,1,2.8,8,1,0,1,8,1
2023/1/18,êÖ,9.1,8,1,14.2,8,1,6.2,8,1,8.4,0,8,1,1019.7,8,1,,0,1,7.1,8,êº,8,1,4.3,8,1,0,1,8,1
2023/1/19,ñÿ,7.0,8,1,12.3,8,1,2.5,8,1,3.6,0,8,1,1021.5,8,1,,0,1,5.2,8,êº,8,1,2.5,8,1,0,1,8,1
2023/1/20,ã‡,8.3,8,1,16.2,8,1,2.6,8,1,7.1,0,8,1,1021.2,8,1,,0,1,8.6,8,êº,8,1,4.0,8,1,0,1,8,1
2023/1/21,ìy,5.9,8,1,12.1,8,1,0.3,8,1,9.2,0,8,1,1024.3,8,1,,0,1,4.7,8,ìåìÏìå,8,1,2.1,8,1,0,1,8,1
2023/1/22,ì˙,6.5,8,1,12.3,8,1,1.0,8,1,2.0,0,8,1,1021.7,8,1,,0,1,5.0,8,êºñkêº,8,1,2.1,8,1,5.5,0,8,1
2023/1/23,åé,9.7,8,1,11.8,8,1,7.9,8,1,0.9,0,8,1,1014.1,8,1,,0,1,6.9,8,ñkìå,8,1,2.2,8,1,5.5,0,8,1
2023/1/24,âŒ,4.7,8,1,9.3,8,1,-1.2,8,1,6.5,0,8,1,1014.5,8,1,,0,1,15.0,8,êºñkêº,8,1,7.4,8,1,0.0,0,8,1
2023/1/25,êÖ,0.9,8,1,6.4,8,1,-3.1,8,1,10.1,0,8,1,1023.9,8,1,,0,1,7.4,8,êºñkêº,8,1,3.3,8,1,0,1,8,1
2023/1/26,ñÿ,5.6,8,1,13.0,8,1,-0.6,8,1,7.1,0,8,1,1021.5,8,1,,0,1,6.6,8,ìåñkìå,8,1,2.5,8,1,0.0,0,8,1
2023/1/27,ã‡,5.7,8,1,9.9,8,1,2.0,8,1,2.3,0,8,1,1012.7,8,1,,0,1,10.5,8,êºñkêº,8,1,4.4,8,1,5.0,0,8,1
2023/1/28,ìy,2.8,8,1,7.8,8,1,-1.1,8,1,10.1,0,8,1,1017.1,8,1,,0,1,8.9,8,êº,8,1,4.8,8,1,0,1,8,1
2023/1/29,ì˙,3.9,8,1,10.5,8,1,-1.9,8,1,3.4,0,8,1,1018.6,8,1,,0,1,8.8,8,êºñkêº,8,1,3.1,8,1,0,1,8,1
2023/1/30,åé,7.7,8,1,13.1,8,1,3.4,8,1,10.1,0,8,1,1017.8,8,1,,0,1,8.1,8,êº,8,1,3.8,8,1,0.0,0,8,1
2023/1/31,âŒ,6.6,8,1,14.8,8,1,-0.1,8,1,10.2,0,8,1,1019.3,8,1,,0,1,5.6,8,ìåìÏìå,8,1,3.2,8,1,0,1,8,1
2023/2/1,êÖ,11.0,8,1,20.4,8,1,2.0,8,1,5.9,0,8,1,1015.3,8,1,,0,1,12.3,8,êº,8,1,4.3,8,1,0,1,8,1
2023/2/2,ñÿ,11.6,8,1,14.2,8,1,8.6,8,1,5.5,0,8,1,1017.6,8,1,,0,1,5.9,8,ìå,8,1,3.2,8,1,0,1,8,1
2023/2/3,ã‡,8.8,8,1,14.1,8,1,6.0,8,1,1.5,0,8,1,1017.4,8,1,,0,1,6.7,8,êº,8,1,1.8,8,1,0,1,8,1
2023/2/4,ìy,8.9,8,1,15.1,8,1,3.3,8,1,5.1,0,8,1,1018.6,8,1,,0,1,5.3,8,êºñkêº,8,1,2.7,8,1,0,1,8,1
2023/2/5,ì˙,8.5,8,1,13.3,8,1,4.8,8,1,7.8,0,8,1,1021.4,8,1,,0,1,4.2,8,ñkêº,8,1,2.4,8,1,0,1,8,1
2023/2/6,åé,8.4,8,1,11.2,8,1,5.8,8,1,0.0,0,8,1,1019.1,8,1,,0,1,3.5,8,ñkêº,8,1,1.8,8,1,21.5,0,8,1
2023/2/7,âŒ,10.6,8,1,11.8,8,1,9.2,8,1,0.0,0,8,1,1014.6,8,1,,0,1,7.3,8,ñkìå,8,1,2.7,8,1,20.0,0,8,1
2023/2/8,êÖ,11.6,8,1,15.7,8,1,8.9,8,1,8.2,0,8,1,1019.1,8,1,,0,1,4.4,8,ìå,8,1,2.1,8,1,0,1,8,1
2023/2/9,ñÿ,9.8,8,1,13.6,8,1,5.6,8,1,1.1,0,8,1,1023.4,8,1,,0,1,5.3,8,ìåñkìå,8,1,2.4,8,1,16.0,0,8,1
2023/2/10,ã‡,13.6,8,1,17.1,8,1,9.8,8,1,0.1,0,8,1,1012.6,8,1,,0,1,8.9,8,ìåìÏìå,8,1,3.3,8,1,48.0,0,8,1
2023/2/11,ìy,9.9,8,1,14.3,8,1,5.0,8,1,1.1,0,8,1,1018.9,8,1,,0,1,3.7,8,ìåñkìå,8,1,1.9,8,1,0.0,0,8,1
2023/2/12,ì˙,13.1,8,1,17.5,8,1,8.9,8,1,1.8,0,8,1,1017.8,8,1,,0,1,4.8,8,ñkìå,8,1,2.2,8,1,27.5,0,8,1
2023/2/13,åé,14.3,8,1,15.9,8,1,10.7,8,1,0.0,0,8,1,1006.8,8,1,,0,1,6.6,8,ñkñkìå,8,1,2.6,8,1,16.5,0,8,1
2023/2/14,âŒ,9.8,8,1,12.6,8,1,6.4,8,1,9.3,0,8,1,1014.9,8,1,,0,1,5.6,8,ìå,8,1,2.7,8,1,0,1,8,1
2023/2/15,êÖ,6.2,8,1,10.2,8,1,2.3,8,1,9.6,0,8,1,1022.5,8,1,,0,1,6.8,8,ìåñkìå,8,1,3.7,8,1,0,1,8,1
2023/2/16,ñÿ,5.5,8,1,10.5,8,1,0.8,8,1,10.5,0,8,1,1028.0,8,1,,0,1,4.6,8,ìå,8,1,2.4,8,1,0,1,8,1
2023/2/17,ã‡,8.8,8,1,15.1,8,1,2.2,8,1,7.6,0,5,1,1026.9,8,1,,0,1,5.5,8,êºñkêº,8,1,2.8,8,1,0,1,8,1
2023/2/18,ìy,15.4,8,1,22.7,8,1,8.6,8,1,5.0,0,8,1,1021.5,8,1,,0,1,5.7,8,êº,8,1,2.9,8,1,0,1,8,1
2023/2/19,ì˙,16.2,8,1,20.6,8,1,10.6,8,1,3.3,0,8,1,1013.4,8,1,,0,1,10.1,8,êº,8,1,6.3,8,1,0.0,0,8,1
2023/2/20,åé,10.6,8,1,17.0,8,1,6.4,8,1,6.5,0,8,1,1017.8,8,1,,0,1,8.2,8,êºìÏêº,8,1,4.2,8,1,0,1,8,1
2023/2/21,âŒ,6.8,8,1,11.1,8,1,1.9,8,1,7.5,0,8,1,1025.9,8,1,,0,1,6.4,8,ìåñkìå,8,1,3.7,8,1,0,1,8,1
2023/2/22,êÖ,7.5,8,1,12.4,8,1,1.8,8,1,8.2,0,8,1,1027.5,8,1,,0,1,4.4,8,ñkìå,8,1,2.6,8,1,0,1,8,1
2023/2/23,ñÿ,10.7,8,1,13.5,8,1,8.0,8,1,0.0,0,8,1,1020.3,8,1,,0,1,3.8,8,êºñkêº,8,1,1.7,8,1,1.5,0,8,1
2023/2/24,ã‡,9.9,8,1,10.9,8,1,6.5,8,1,0.0,0,8,1,1017.5,8,1,,0,1,3.6,8,êºñkêº,8,1,1.4,8,1,22.5,0,8,1
2023/2/25,ìy,9.1,8,1,16.7,8,1,1.8,8,1,10.6,0,8,1,1022.6,8,1,,0,1,7.4,8,êº,8,1,3.4,8,1,0,1,8,1
2023/2/26,ì˙,7.2,8,1,12.2,8,1,1.7,8,1,10.5,0,8,1,1030.0,8,1,,0,1,5.0,8,ìå,8,1,2.5,8,1,0,1,8,1
2023/2/27,åé,7.1,8,1,13.7,8,1,1.1,8,1,11.0,0,8,1,1032.0,8,1,,0,1,4.7,8,ñkêº,8,1,2.9,8,1,0,1,8,1
2023/2/28,âŒ,10.7,8,1,17.7,8,1,3.3,8,1,10.9,0,8,1,1028.0,8,1,,0,1,6.2,8,ìÏìÏìå,8,1,3.3,8,1,0,1,8,1
2023/3/1,êÖ,14.0,8,1,21.2,8,1,7.0,8,1,7.1,0,5,1,1020.0,8,1,,0,1,7.3,8,êºìÏêº,8,1,3.2,5,1,0.0,0,8,1
2023/3/2,ñÿ,11.6,8,1,15.8,8,1,6.3,8,1,10.8,0,8,1,1019.1,8,1,,0,1,8.0,8,êº,8,1,4.3,8,1,0.0,0,8,1
2023/3/3,ã‡,8.2,8,1,13.7,8,1,2.2,8,1,9.8,0,8,1,1024.9,8,1,,0,1,4.9,8,ìåìÏìå,8,1,2.5,8,1,0,1,8,1
2023/3/4,ìy,10.0,8,1,14.0,8,1,5.9,8,1,0.0,0,8,1,1024.3,8,1,,0,1,4.2,8,ñkìå,8,1,2.1,8,1,0.0,0,8,1
2023/3/5,ì˙,10.4,8,1,16.6,8,1,4.1,8,1,10.5,0,8,1,1023.1,8,1,,0,1,4.5,8,ìåìÏìå,8,1,2.9,8,1,0,1,8,1
2023/3/6,åé,12.1,8,1,19.0,8,1,5.6,8,1,9.6,0,8,1,1021.6,8,1,,0,1,5.2,8,ìÏìå,8,1,2.9,8,1,0,1,8,1
2023/3/7,âŒ,12.5,8,1,19.1,8,1,5.7,8,1,10.7,0,8,1,1022.1,8,1,,0,1,5.6,8,ìåìÏìå,8,1,3.3,8,1,0,1,8,1
2023/3/8,êÖ,14.4,8,1,20.9,8,1,6.5,8,1,10.6,0,8,1,1021.4,8,1,,0,1,5.7,8,ìÏìå,8,1,2.9,8,1,0,1,8,1
2023/3/9,ñÿ,13.1,8,1,16.9,8,1,9.9,8,1,0.2,0,8,1,1018.7,8,1,,0,1,5.7,8,êºñkêº,8,1,2.5,8,1,6.5,0,8,1
2023/3/10,ã‡,15.3,8,1,21.1,8,1,10.1,8,1,10.4,0,8,1,1019.1,8,1,,0,1,5.6,8,ñkêº,8,1,3.1,8,1,0,1,8,1
2023/3/11,ìy,15.8,8,1,22.3,8,1,9.3,8,1,10.4,0,8,1,1022.2,8,1,,0,1,5.8,8,ìåìÏìå,8,1,2.9,8,1,0,1,8,1
2023/3/12,ì˙,16.3,8,1,22.0,8,1,10.6,8,1,4.9,0,8,1,1019.2,8,1,,0,1,8.5,8,êº,8,1,3.0,8,1,1.0,0,8,1
2023/3/13,åé,11.9,8,1,16.1,8,1,7.4,8,1,8.3,0,8,1,1016.8,8,1,,0,1,9.6,8,êº,8,1,4.3,8,1,0.0,0,8,1
2023/3/14,âŒ,10.2,8,1,16.4,8,1,3.4,8,1,11.6,0,8,1,1020.3,8,1,,0,1,4.4,8,êºñkêº,8,1,2.8,8,1,0,1,8,1
2023/3/15,êÖ,13.6,8,1,20.7,8,1,6.2,8,1,6.7,0,8,1,1022.8,8,1,,0,1,6.3,8,ìåìÏìå,8,1,3.1,8,1,0,1,8,1
2023/3/16,ñÿ,16.5,8,1,23.2,8,1,9.7,8,1,7.6,0,8,1,1021.7,8,1,,0,1,6.3,8,ìÏìå,8,1,2.7,8,1,0.0,0,8,1
2023/3/17,ã‡,15.0,8,1,17.7,8,1,12.9,8,1,0.0,0,8,1,1017.4,8,1,,0,1,5.1,8,ìåñkìå,8,1,2.4,8,1,20.0,0,8,1
2023/3/18,ìy,15.4,8,1,19.6,8,1,11.5,8,1,4.2,0,8,1,1011.1,8,1,,0,1,5.7,8,ìå,8,1,2.7,8,1,26.5,0,8,1
2023/3/19,ì˙,12.9,8,1,18.9,8,1,7.0,8,1,11.3,0,8,1,1016.8,8,1,,0,1,5.8,8,ìåñkìå,8,1,3.1,8,1,0,1,8,1
2023/3/20,åé,12.8,8,1,18.2,8,1,7.9,8,1,0.8,0,8,1,1016.0,8,1,,0,1,4.7,8,ìåìÏìå,8,1,2.3,8,1,2.0,0,8,1
2023/3/21,âŒ,15.5,8,1,18.0,8,1,13.0,8,1,0.0,0,8,1,1010.4,8,1,,0,1,7.2,8,ñkìå,8,1,2.5,8,1,77.5,0,8,1
2023/3/22,êÖ,17.3,8,1,19.0,8,1,15.4,8,1,0.0,0,8,1,1010.5,8,1,,0,1,7.1,8,ñkìå,8,1,3.5,8,1,23.5,0,8,1
2023/3/23,ñÿ,20.8,8,1,26.3,8,1,18.1,8,1,1.9,0,8,1,1004.8,8,1,,0,1,9.6,8,êºìÏêº,8,1,4.5,8,1,15.0,0,8,1
2023/3/24,ã‡,19.8,8,1,25.3,8,1,18.1,8,1,2.7,0,8,1,1009.3,8,1,,0,1,7.2,8,êºìÏêº,8,1,3.4,8,1,0.0,0,8,1
2023/3/25,ìy,17.3,8,1,19.0,8,1,15.5,8,1,0.0,0,8,1,1012.1,8,1,,0,1,5.9,8,ñkìå,8,1,2.7,8,1,0.0,0,8,1
2023/3/26,ì˙,14.8,8,1,17.0,8,1,12.8,8,1,0.0,0,8,1,1010.5,8,1,,0,1,4.5,8,ñkìå,8,1,1.9,8,1,5.0,0,8,1
2023/3/27,åé,13.9,8,1,18.3,8,1,9.4,8,1,9.0,0,8,1,1016.3,8,1,,0,1,5.3,8,ìå,8,1,2.9,8,1,0,1,8,1
2023/3/28,âŒ,13.9,8,1,18.8,8,1,9.5,8,1,10.8,0,8,1,1020.4,8,1,,0,1,5.6,8,ìåñkìå,8,1,2.8,8,1,0,1,8,1
2023/3/29,êÖ,13.7,8,1,19.6,8,1,7.5,8,1,10.2,0,8,1,1019.7,8,1,,0,1,5.6,8,ìå,8,1,3.1,8,1,0,1,8,1
2023/3/30,ñÿ,14.1,8,1,17.7,8,1,8.9,8,1,0.9,0,8,1,1017.7,8,1,,0,1,4.2,8,ìåñkìå,8,1,2.3,8,1,0,1,8,1
2023/3/31,ã‡,15.0,8,1,17.8,8,1,12.6,8,1,0.0,0,8,1,1015.5,8,1,,0,1,6.5,8,ìåñkìå,8,1,1.9,8,1,4.0,0,8,1
2023/4/1,ìy,17.2,8,1,20.8,8,1,13.3,8,1,5.7,0,8,1,1013.0,8,1,,0,1,5.7,8,ìåñkìå,8,1,2.9,8,1,0.0,0,8,1
2023/4/2,ì˙,18.5,8,1,21.9,8,1,13.7,8,1,3.3,0,8,1,1011.0,8,1,,0,1,7.7,8,ñkìå,8,1,4.3,8,1,0.0,0,8,1
2023/4/3,åé,16.7,8,1,21.3,8,1,10.9,8,1,10.5,0,8,1,1018.0,8,1,,0,1,7.6,8,ìå,8,1,3.3,8,1,0.0,0,8,1
2023/4/4,âŒ,18.1,8,1,21.7,8,1,13.3,8,1,7.2,0,8,1,1020.9,8,1,,0,1,6.7,8,ìåìÏìå,8,1,4.1,8,1,1.0,0,8,1
2023/4/5,êÖ,17.7,8,1,19.9,8,1,15.8,8,1,0.0,0,8,1,1017.7,8,1,,0,1,6.5,8,ìåìÏìå,8,1,2.6,8,1,9.0,0,8,1
2023/4/6,ñÿ,18.4,8,1,22.1,8,1,15.6,8,1,0.0,0,8,1,1011.9,8,1,,0,1,4.8,8,ìÏ,8,1,1.6,8,1,26.5,0,8,1
2023/4/7,ã‡,17.4,8,1,20.8,8,1,12.9,8,1,4.4,0,8,1,1008.3,8,1,,0,1,8.8,8,êº,8,1,4.1,8,1,41.0,0,8,1
2023/4/8,ìy,14.3,8,1,20.0,8,1,8.4,8,1,12.0,0,8,1,1014.8,8,1,,0,1,8.3,8,êº,8,1,5.5,8,1,0,1,8,1
2023/4/9,ì˙,13.0,8,1,19.1,8,1,4.2,8,1,12.2,0,8,1,1018.9,8,1,,0,1,6.6,8,ìÏìå,8,1,3.5,8,1,0,1,8,1
2023/4/10,åé,16.3,8,1,24.0,8,1,7.9,8,1,10.5,0,8,1,1018.0,8,1,,0,1,6.7,8,êºìÏêº,8,1,2.8,8,1,0,1,8,1
2023/4/11,âŒ,18.2,8,1,24.7,8,1,11.4,8,1,6.1,0,8,1,1016.0,8,1,,0,1,6.5,8,ìÏ,8,1,3.0,8,1,0,1,8,1
2023/4/12,êÖ,18.7,8,1,25.9,8,1,14.9,8,1,3.3,0,8,1,1012.9,8,1,,0,1,7.8,8,êº,8,1,2.8,8,1,0.0,0,8,1
2023/4/13,ñÿ,16.0,8,1,21.0,8,1,10.3,8,1,11.5,0,8,1,1017.4,8,1,,0,1,4.9,8,ìåìÏìå,8,1,3.0,8,1,0,1,8,1
2023/4/14,ã‡,15.5,8,1,19.3,8,1,12.3,8,1,0.3,0,8,1,1014.3,8,1,,0,1,5.4,8,ìåñkìå,8,1,2.5,8,1,29.5,0,8,1
2023/4/15,ìy,18.0,8,1,24.1,8,1,15.0,8,1,1.0,0,8,1,1000.9,8,1,,0,1,9.4,8,êº,8,1,3.9,8,1,31.0,0,8,1
2023/4/16,ì˙,18.7,8,1,24.2,8,1,13.6,8,1,11.4,0,8,1,1003.0,8,1,,0,1,11.6,8,êº,8,1,6.7,8,1,0.0,0,8,1
2023/4/17,åé,15.7,8,1,19.3,8,1,11.0,8,1,11.7,0,8,1,1015.0,8,1,,0,1,6.3,8,ìåìÏìå,8,1,3.5,8,1,0,1,8,1
2023/4/18,âŒ,19.2,8,1,28.0,8,1,10.4,8,1,10.9,0,8,1,1015.6,8,1,,0,1,7.3,8,êºìÏêº,8,1,3.2,8,1,0,1,8,1
2023/4/19,êÖ,21.9,8,1,26.0,8,1,19.2,8,1,0.4,0,8,1,1010.5,8,1,,0,1,4.5,8,êºìÏêº,8,1,2.4,8,1,0,1,8,1
2023/4/20,ñÿ,19.7,8,1,22.2,8,1,18.5,8,1,2.2,0,8,1,1008.5,8,1,,0,1,6.3,8,ìå,8,1,3.8,8,1,0.0,0,8,1
2023/4/21,ã‡,19.4,8,1,22.1,8,1,16.7,8,1,0.5,0,8,1,1005.6,8,1,,0,1,6.0,8,ìåñkìå,8,1,2.9,8,1,1.5,0,8,1
2023/4/22,ìy,17.9,8,1,21.3,8,1,13.8,8,1,10.4,0,8,1,1010.5,8,1,,0,1,7.8,8,ìåñkìå,8,1,4.1,8,1,0,1,8,1
2023/4/23,ì˙,15.9,8,1,21.0,8,1,10.1,8,1,11.6,0,8,1,1017.1,8,1,,0,1,6.1,8,ìå,8,1,3.0,8,1,0,1,8,1
2023/4/24,åé,14.4,8,1,18.6,8,1,11.0,8,1,0.0,0,8,1,1019.2,8,1,,0,1,6.4,8,ìåñkìå,8,1,2.3,8,1,7.0,0,8,1
2023/4/25,âŒ,13.9,8,1,16.3,8,1,11.4,8,1,0.0,0,8,1,1013.1,8,1,,0,1,3.9,8,êºñkêº,8,1,1.6,8,1,18.5,0,8,1
2023/4/26,êÖ,18.1,8,1,23.3,8,1,13.1,8,1,7.6,0,8,1,1008.5,8,1,,0,1,9.7,8,êº,8,1,5.1,8,1,7.5,0,8,1
2023/4/27,ñÿ,15.0,8,1,19.9,8,1,8.8,8,1,11.3,0,8,1,1019.4,8,1,,0,1,4.8,8,ìåìÏìå,8,1,2.8,8,1,0,1,8,1
2023/4/28,ã‡,17.3,8,1,23.2,8,1,10.8,8,1,7.6,0,8,1,1019.2,8,1,,0,1,7.1,8,ìåìÏìå,8,1,3.1,8,1,0,1,8,1
2023/4/29,ìy,18.5,8,1,21.8,8,1,16.2,8,1,0.0,0,8,1,1010.5,8,1,,0,1,5.4,8,êºìÏêº,8,1,1.4,8,1,27.0,0,8,1
2023/4/30,ì˙,17.8,8,1,21.1,8,1,13.7,8,1,2.2,0,8,1,1008.4,8,1,,0,1,8.3,8,êº,8,1,3.5,8,1,0.5,0,8,1
2023/5/1,åé,18.0,8,1,27.0,8,1,11.7,8,1,12.7,0,8,1,1014.4,8,1,,0,1,7.1,8,êº,8,1,3.1,8,1,0,1,8,1
2023/5/2,âŒ,16.7,8,1,22.6,8,1,11.0,8,1,12.4,0,8,1,1022.2,8,1,,0,1,6.0,8,ìå,8,1,3.0,8,1,0,1,8,1
2023/5/3,êÖ,16.6,8,1,21.9,8,1,9.2,8,1,7.7,0,8,1,1023.1,8,1,,0,1,6.2,8,ìå,8,1,2.9,8,1,0.0,0,8,1
2023/5/4,ñÿ,18.5,8,1,21.2,8,1,16.7,8,1,0.0,0,8,1,1017.9,8,1,,0,1,4.1,8,ìåñkìå,8,1,1.9,8,1,5.5,0,8,1
2023/5/5,ã‡,20.4,8,1,24.3,8,1,16.6,8,1,1.7,0,8,1,1012.5,8,1,,0,1,6.6,8,ìÏìÏìå,8,1,2.6,8,1,0.0,0,8,1
2023/5/6,ìy,22.6,8,1,25.0,8,1,20.2,8,1,0.0,0,8,1,1007.0,8,1,,0,1,6.4,8,ìÏ,8,1,2.3,8,1,0.0,0,8,1
2023/5/7,ì˙,21.9,8,1,24.1,8,1,18.5,8,1,0.0,0,8,1,1001.8,8,1,,0,1,6.6,8,êºìÏêº,8,1,2.3,8,1,23.0,0,8,1
2023/5/8,åé,18.9,8,1,21.5,8,1,16.4,8,1,9.1,0,8,1,1007.0,8,1,,0,1,8.9,8,ñkìå,8,1,4.3,8,1,0.0,0,8,1
2023/5/9,âŒ,16.9,8,1,22.6,8,1,10.3,8,1,12.3,0,8,1,1013.0,8,1,,0,1,6.2,8,ìåñkìå,8,1,3.2,8,1,0,1,8,1
2023/5/10,êÖ,17.8,8,1,23.0,8,1,12.0,8,1,11.1,0,8,1,1014.1,8,1,,0,1,5.0,8,ìåìÏìå,8,1,2.9,8,1,0,1,8,1
2023/5/11,ñÿ,18.1,8,1,23.4,8,1,12.4,8,1,9.4,0,8,1,1016.2,8,1,,0,1,5.0,8,ìåìÏìå,8,1,2.6,8,1,0,1,8,1
2023/5/12,ã‡,18.4,8,1,23.6,8,1,11.5,8,1,8.4,0,8,1,1017.0,8,1,,0,1,6.3,8,ìå,8,1,3.0,8,1,0,1,8,1
2023/5/13,ìy,17.5,8,1,19.7,8,1,15.9,8,1,0.0,0,8,1,1013.0,8,1,,0,1,3.8,8,ñkñkìå,8,1,1.4,8,1,16.5,0,8,1
2023/5/14,ì˙,18.9,8,1,22.8,8,1,15.8,8,1,7.8,0,8,1,1007.3,8,1,,0,1,5.0,8,ìå,8,1,2.5,8,1,1.0,0,8,1
2023/5/15,åé,19.5,8,1,24.4,8,1,15.2,8,1,11.8,0,8,1,1008.6,8,1,,0,1,6.4,8,ìå,8,1,2.9,8,1,0,1,4,1
