1,ЧяШaВQФNНСР®Т≤НЄБ@ПђТnИжПWМvБ@БiСНЦ±П»УЭМvЛ«Бj,,,,,,,,,,,
2,Сж1Х\Б@ТjПЧХ РlМыЛyВ—РҐС—РФБ|КоЦ{ТPИ Лж,,,,,,,,,,,
3,,,,,,,,,1) БuРlМыПWТЖТnЛжХДНЖБvВЌБCБu01БvВ≈В†ВкВќРlМыПWТЖТnЛжБCБu51БvВ≈В†ВкВќПАРlМыПWТЖТnЛжВ≈В†ВйВ±В∆ВрХ\ВЈБBВ»В®БCОsЛжТђСЇУаВ…РlМыПWТЖТnЛжВвПАРlМыПWТЖТnЛжВ™Х°РФСґНЁВЈВйПкНЗВЌБCРlМыВћСеВЂВҐРlМыПWТЖТnЛжВ©ВзБC01БC02БcБiПАРlМыПWТЖТnЛжВЌ51БC52БcБjВ∆ХtЧ^ВµВƒВҐВйБB,,,
4,,,,,,,,,РlМы,РlМы,РlМы,РҐС—РФ
15,"45201","001002020","  37.1.  ","Л{НиМІ","Л{НиОs","ЛkТ РЉ","УсТЪЦЏ","01",40,19,21,40
16,"45201","001002030","  36.1. 3","Л{НиМІ","Л{НиОs","ЛkТ РЉ","УсТЪЦЏ","01",77,35,42,60
17,"45201","001002040","  36.1. 4","Л{НиМІ","Л{НиОs","ЛkТ РЉ","УсТЪЦЏ","01",2,1,1,1
18,"45201","001002050","  35.1. 1","Л{НиМІ","Л{НиОs","ЛkТ РЉ","УсТЪЦЏ","01",12,7,5,8
19,"45201","001002060","  35.1. 2","Л{НиМІ","Л{НиОs","ЛkТ РЉ","УсТЪЦЏ","01",37,19,18,30
20,"45201","001002070","  35.1. 3","Л{НиМІ","Л{НиОs","ЛkТ РЉ","УсТЪЦЏ","01",16,9,7,12
21,"45201","001003010"," 335.1. 1","Л{НиМІ","Л{НиОs","ЛkТ РЉ","ОOТЪЦЏ","01",1,-,1,1
22,"45201","001003020"," 335.1. 2","Л{НиМІ","Л{НиОs","ЛkТ РЉ","ОOТЪЦЏ","01",2,1,1,1
23,"45201","001003030"," 335.1. 3","Л{НиМІ","Л{НиОs","ЛkТ РЉ","ОOТЪЦЏ","01",-,-,-,-
24,"45201","001003040"," 335.1. 4","Л{НиМІ","Л{НиОs","ЛkТ РЉ","ОOТЪЦЏ","01",-,-,-,-
25,"45201","001003050"," 335.1. 5","Л{НиМІ","Л{НиОs","ЛkТ РЉ","ОOТЪЦЏ","01",-,-,-,-
26,"45201","001003060"," 335.1. 6","Л{НиМІ","Л{НиОs","ЛkТ РЉ","ОOТЪЦЏ","01",-,-,-,-
27,"45201","001003070"," 335.1. 7","Л{НиМІ","Л{НиОs","ЛkТ РЉ","ОOТЪЦЏ","01",-,-,-,-
28,"45201","001003080"," 335.1. 8","Л{НиМІ","Л{НиОs","ЛkТ РЉ","ОOТЪЦЏ","01",-,-,-,-
29,"45201","001003090"," 335.1. 9","Л{НиМІ","Л{НиОs","ЛkТ РЉ","ОOТЪЦЏ","01",-,-,-,-
30,"45201","001003100"," 335.1.10","Л{НиМІ","Л{НиОs","ЛkТ РЉ","ОOТЪЦЏ","01",-,-,-,-
31,"45201","001004010"," 785.1. 1","Л{НиМІ","Л{НиОs","ЛkТ РЉ","ОlТЪЦЏ","01",3,-,3,2
32,"45201","001004020"," 785.1. 2","Л{НиМІ","Л{НиОs","ЛkТ РЉ","ОlТЪЦЏ","01",11,3,8,6
33,"45201","001004030"," 786.1. 1","Л{НиМІ","Л{НиОs","ЛkТ РЉ","ОlТЪЦЏ","01",13,8,5,12
34,"45201","001004040"," 785.1. 3","Л{НиМІ","Л{НиОs","ЛkТ РЉ","ОlТЪЦЏ","01",4,2,2,2
35,"45201","001004050"," 785.1. 4","Л{НиМІ","Л{НиОs","ЛkТ РЉ","ОlТЪЦЏ","01",-,-,-,-
36,"45201","001004060"," 785.1. 5","Л{НиМІ","Л{НиОs","ЛkТ РЉ","ОlТЪЦЏ","01",-,-,-,-
37,"45201","001005010"," 786.1. 2","Л{НиМІ","Л{НиОs","ЛkТ РЉ","М№ТЪЦЏ","01",71,26,45,54
38,"45201","001005020"," 761.1.  ","Л{НиМІ","Л{НиОs","ЛkТ РЉ","М№ТЪЦЏ","01",22,8,14,14
39,"45201","001005030"," 759.1.  ","Л{НиМІ","Л{НиОs","ЛkТ РЉ","М№ТЪЦЏ","01",53,36,17,45
40,"45201","001005030"," 760.1.  ","Л{НиМІ","Л{НиОs","ЛkТ РЉ","М№ТЪЦЏ","01",56,34,22,42
41,"45201","001005040"," 758.1. 1","Л{НиМІ","Л{НиОs","ЛkТ РЉ","М№ТЪЦЏ","01",26,10,16,19
42,"45201","001005050"," 758.1. 2","Л{НиМІ","Л{НиОs","ЛkТ РЉ","М№ТЪЦЏ","01",105,44,61,43
43,"45201","001005060"," 755.1.  ","Л{НиМІ","Л{НиОs","ЛkТ РЉ","М№ТЪЦЏ","01",69,35,34,43
44,"45201","001005060"," 756.1.  ","Л{НиМІ","Л{НиОs","ЛkТ РЉ","М№ТЪЦЏ","01",62,41,21,50
45,"45201","001005060"," 757.1.  ","Л{НиМІ","Л{НиОs","ЛkТ РЉ","М№ТЪЦЏ","01",108,38,70,47
46,"45201","002001010","  57.1. 1","Л{НиМІ","Л{НиОs","ЛkТ УМ","ИкТЪЦЏ","01",-,-,-,-
47,"45201","002001020","  57.1. 2","Л{НиМІ","Л{НиОs","ЛkТ УМ","ИкТЪЦЏ","01",52,26,26,44
48,"45201","002001030","  57.1. 3","Л{НиМІ","Л{НиОs","ЛkТ УМ","ИкТЪЦЏ","01",1,1,-,1
49,"45201","002001030","  60.1.  ","Л{НиМІ","Л{НиОs","ЛkТ УМ","ИкТЪЦЏ","01",46,20,26,26
50,"45201","002001030","  61.1.  ","Л{НиМІ","Л{НиОs","ЛkТ УМ","ИкТЪЦЏ","01",49,20,29,29
51,"45201","002001040","  64.1.  ","Л{НиМІ","Л{НиОs","ЛkТ УМ","ИкТЪЦЏ","01",90,47,43,73
52,"45201","002001050","  57.1. 4","Л{НиМІ","Л{НиОs","ЛkТ УМ","ИкТЪЦЏ","01",3,1,2,2
53,"45201","002001060","  65.1. 1","Л{НиМІ","Л{НиОs","ЛkТ УМ","ИкТЪЦЏ","01",35,16,19,27
54,"45201","002001070","  65.1. 2","Л{НиМІ","Л{НиОs","ЛkТ УМ","ИкТЪЦЏ","01",6,2,4,3
55,"45201","002001080","  65.1. 3","Л{НиМІ","Л{НиОs","ЛkТ УМ","ИкТЪЦЏ","01",38,17,21,25
56,"45201","002001090","  65.1. 4","Л{НиМІ","Л{НиОs","ЛkТ УМ","ИкТЪЦЏ","01",-,-,-,-
57,"45201","002001100","  65.1. 5","Л{НиМІ","Л{НиОs","ЛkТ УМ","ИкТЪЦЏ","01",19,9,10,7
58,"45201","002001110","  65.1. 6","Л{НиМІ","Л{НиОs","ЛkТ УМ","ИкТЪЦЏ","01",1,1,-,1
59,"45201","002001120","  58.1.  ","Л{НиМІ","Л{НиОs","ЛkТ УМ","ИкТЪЦЏ","01",86,38,48,66
60,"45201","002001130","  59.1.  ","Л{НиМІ","Л{НиОs","ЛkТ УМ","ИкТЪЦЏ","01",57,41,16,48
61,"45201","002001140","  57.1. 5","Л{НиМІ","Л{НиОs","ЛkТ УМ","ИкТЪЦЏ","01",-,-,-,-
62,"45201","002001140","  62.1.  ","Л{НиМІ","Л{НиОs","ЛkТ УМ","ИкТЪЦЏ","01",95,42,53,44
63,"45201","002001140","  63.1.  ","Л{НиМІ","Л{НиОs","ЛkТ УМ","ИкТЪЦЏ","01",52,20,32,28
64,"45201","002002010"," 381.1. 1","Л{НиМІ","Л{НиОs","ЛkТ УМ","УсТЪЦЏ","01",28,16,12,24
65,"45201","002002020"," 381.1. 2","Л{НиМІ","Л{НиОs","ЛkТ УМ","УсТЪЦЏ","01",-,-,-,-
66,"45201","002002030"," 381.1. 3","Л{НиМІ","Л{НиОs","ЛkТ УМ","УсТЪЦЏ","01",3,2,1,2
67,"45201","002002040"," 381.1. 4","Л{НиМІ","Л{НиОs","ЛkТ УМ","УсТЪЦЏ","01",10,3,7,8
68,"45201","002002050"," 381.1. 5","Л{НиМІ","Л{НиОs","ЛkТ УМ","УсТЪЦЏ","01",7,2,5,4
69,"45201","002002060"," 380.1. 1","Л{НиМІ","Л{НиОs","ЛkТ УМ","УсТЪЦЏ","01",69,30,39,62
70,"45201","002002070"," 380.1. 2","Л{НиМІ","Л{НиОs","ЛkТ УМ","УсТЪЦЏ","01",17,6,11,13
71,"45201","002002080"," 381.1. 6","Л{НиМІ","Л{НиОs","ЛkТ УМ","УсТЪЦЏ","01",37,22,15,32
72,"45201","002002090"," 381.1. 7","Л{НиМІ","Л{НиОs","ЛkТ УМ","УсТЪЦЏ","01",14,7,7,10
73,"45201","002002100"," 381.1. 8","Л{НиМІ","Л{НиОs","ЛkТ УМ","УсТЪЦЏ","01",-,-,-,-
74,"45201","002003010"," 352.1. 1","Л{НиМІ","Л{НиОs","ЛkТ УМ","ОOТЪЦЏ","01",41,23,18,36
75,"45201","002003020"," 817.1. 1","Л{НиМІ","Л{НиОs","ЛkТ УМ","ОOТЪЦЏ","01",25,12,13,17
76,"45201","002003020"," 819.1.  ","Л{НиМІ","Л{НиОs","ЛkТ УМ","ОOТЪЦЏ","01",73,33,40,50
77,"45201","002003030"," 817.1. 2","Л{НиМІ","Л{НиОs","ЛkТ УМ","ОOТЪЦЏ","01",17,5,12,6
78,"45201","002003040"," 817.1. 3","Л{НиМІ","Л{НиОs","ЛkТ УМ","ОOТЪЦЏ","01",9,4,5,4
79,"45201","002003050"," 817.1. 4","Л{НиМІ","Л{НиОs","ЛkТ УМ","ОOТЪЦЏ","01",18,8,10,11
80,"45201","002003060"," 818.1. 1","Л{НиМІ","Л{НиОs","ЛkТ УМ","ОOТЪЦЏ","01",12,5,7,6
81,"45201","002003070"," 817.1. 5","Л{НиМІ","Л{НиОs","ЛkТ УМ","ОOТЪЦЏ","01",9,3,6,7
82,"45201","002003080"," 352.1. 2","Л{НиМІ","Л{НиОs","ЛkТ УМ","ОOТЪЦЏ","01",12,7,5,10
83,"45201","002004010"," 812.1. 1","Л{НиМІ","Л{НиОs","ЛkТ УМ","ОlТЪЦЏ","01",-,-,-,-
84,"45201","002004020"," 798.1. 1","Л{НиМІ","Л{НиОs","ЛkТ УМ","ОlТЪЦЏ","01",4,1,3,2
85,"45201","002004020"," 799.1.  ","Л{НиМІ","Л{НиОs","ЛkТ УМ","ОlТЪЦЏ","01",119,47,72,57
86,"45201","002004020"," 800.1.  ","Л{НиМІ","Л{НиОs","ЛkТ УМ","ОlТЪЦЏ","01",103,45,58,52
87,"45201","002004030"," 798.1. 2","Л{НиМІ","Л{НиОs","ЛkТ УМ","ОlТЪЦЏ","01",17,10,7,8
88,"45201","002004040"," 798.1. 3","Л{НиМІ","Л{НиОs","ЛkТ УМ","ОlТЪЦЏ","01",10,4,6,4
89,"45201","002004050"," 801.1.  ","Л{НиМІ","Л{НиОs","ЛkТ УМ","ОlТЪЦЏ","01",76,26,50,60
90,"45201","002004060"," 812.1. 2","Л{НиМІ","Л{НиОs","ЛkТ УМ","ОlТЪЦЏ","01",14,6,8,11
91,"45201","002004070"," 812.1. 3","Л{НиМІ","Л{НиОs","ЛkТ УМ","ОlТЪЦЏ","01",-,-,-,-
92,"45201","002004080"," 812.1. 4","Л{НиМІ","Л{НиОs","ЛkТ УМ","ОlТЪЦЏ","01",-,-,-,-
93,"45201","002004090"," 802.1. 1","Л{НиМІ","Л{НиОs","ЛkТ УМ","ОlТЪЦЏ","01",27,11,16,14
94,"45201","002004100"," 802.1. 2","Л{НиМІ","Л{НиОs","ЛkТ УМ","ОlТЪЦЏ","01",34,14,20,20
95,"45201","002004110"," 798.1. 4","Л{НиМІ","Л{НиОs","ЛkТ УМ","ОlТЪЦЏ","01",18,9,9,11
96,"45201","002005010","1366.1.  ","Л{НиМІ","Л{НиОs","ЛkТ УМ","М№ТЪЦЏ","01",80,41,39,69
97,"45201","002005020","1349.1.  ","Л{НиМІ","Л{НиОs","ЛkТ УМ","М№ТЪЦЏ","01",58,26,32,36
98,"45201","002005030","1347.1. 2","Л{НиМІ","Л{НиОs","ЛkТ УМ","М№ТЪЦЏ","01",69,35,34,43
99,"45201","002005030","1350.1.  ","Л{НиМІ","Л{НиОs","ЛkТ УМ","М№ТЪЦЏ","01",96,32,64,59
100,"45201","002005040","1347.1. 1","Л{НиМІ","Л{НиОs","ЛkТ УМ","М№ТЪЦЏ","01",30,14,16,23
101,"45201","002005040","1348.1.  ","Л{НиМІ","Л{НиОs","ЛkТ УМ","М№ТЪЦЏ","01",116,54,62,55
102,"45201","002005050","1370.1.  ","Л{НиМІ","Л{НиОs","ЛkТ УМ","М№ТЪЦЏ","01",138,65,73,69
103,"45201","002005060","1351.1.  ","Л{НиМІ","Л{НиОs","ЛkТ УМ","М№ТЪЦЏ","01",94,42,52,54
104,"45201","002005060","1352.1.  ","Л{НиМІ","Л{НиОs","ЛkТ УМ","М№ТЪЦЏ","01",44,20,24,34
105,"45201","002005070","1362.1.  ","Л{НиМІ","Л{НиОs","ЛkТ УМ","М№ТЪЦЏ","01",63,34,29,61
106,"45201","002005070","1363.1.  ","Л{НиМІ","Л{НиОs","ЛkТ УМ","М№ТЪЦЏ","01",92,41,51,72
107,"45201","002005070","1364.1.  ","Л{НиМІ","Л{НиОs","ЛkТ УМ","М№ТЪЦЏ","01",38,21,17,37
108,"45201","002005070","1365.1.  ","Л{НиМІ","Л{НиОs","ЛkТ УМ","М№ТЪЦЏ","01",51,29,22,48
109,"45201","003001010","  44.1. 2","Л{НиМІ","Л{НиОs","ПЉЛі","ИкТЪЦЏ","01",50,25,25,37
110,"45201","003001020","  44.1. 3","Л{НиМІ","Л{НиОs","ПЉЛі","ИкТЪЦЏ","01",18,7,11,10
111,"45201","003001030","  44.1. 4","Л{НиМІ","Л{НиОs","ПЉЛі","ИкТЪЦЏ","01",32,17,15,24
112,"45201","003001041","  41.1.  ","Л{НиМІ","Л{НиОs","ПЉЛі","ИкТЪЦЏ","01",79,38,41,57
113,"45201","003001042","  42.4.  ","Л{НиМІ","Л{НиОs","ПЉЛі","ИкТЪЦЏ","01",28,8,20,1
114,"45201","003001050","  43.1. 1","Л{НиМІ","Л{НиОs","ПЉЛі","ИкТЪЦЏ","01",23,10,13,18
115,"45201","003001060","  43.1. 2","Л{НиМІ","Л{НиОs","ПЉЛі","ИкТЪЦЏ","01",9,4,5,5
116,"45201","003001070","  43.1. 3","Л{НиМІ","Л{НиОs","ПЉЛі","ИкТЪЦЏ","01",20,9,11,13
117,"45201","003001080","  47.1. 2","Л{НиМІ","Л{НиОs","ПЉЛі","ИкТЪЦЏ","01",32,18,14,32
118,"45201","003001090","  19.1. 1","Л{НиМІ","Л{НиОs","ПЉЛі","ИкТЪЦЏ","01",18,6,12,9
119,"45201","003001100","  19.1. 2","Л{НиМІ","Л{НиОs","ПЉЛі","ИкТЪЦЏ","01",42,18,24,29
120,"45201","003001110","  20.1. 1","Л{НиМІ","Л{НиОs","ПЉЛі","ИкТЪЦЏ","01",36,18,18,24
121,"45201","003001120","  20.1. 2","Л{НиМІ","Л{НиОs","ПЉЛі","ИкТЪЦЏ","01",6,3,3,4
122,"45201","003001130","  18.1. 1","Л{НиМІ","Л{НиОs","ПЉЛі","ИкТЪЦЏ","01",34,19,15,22
123,"45201","003001140","  18.1. 2","Л{НиМІ","Л{НиОs","ПЉЛі","ИкТЪЦЏ","01",48,19,29,32
124,"45201","003001150","  17.1. 1","Л{НиМІ","Л{НиОs","ПЉЛі","ИкТЪЦЏ","01",36,18,18,26
125,"45201","003001160","  17.1. 2","Л{НиМІ","Л{НиОs","ПЉЛі","ИкТЪЦЏ","01",27,13,14,13
126,"45201","003001170","  48.1. 1","Л{НиМІ","Л{НиОs","ПЉЛі","ИкТЪЦЏ","01",40,20,20,34
127,"45201","003002010","  48.1. 2","Л{НиМІ","Л{НиОs","ПЉЛі","УсТЪЦЏ","01",21,11,10,10
128,"45201","003002020","  17.1. 3","Л{НиМІ","Л{НиОs","ПЉЛі","УсТЪЦЏ","01",9,4,5,4
129,"45201","003002030","  14.1.  ","Л{НиМІ","Л{НиОs","ПЉЛі","УсТЪЦЏ","01",63,36,27,42
130,"45201","003002030","  15.1.  ","Л{НиМІ","Л{НиОs","ПЉЛі","УсТЪЦЏ","01",95,46,49,68
131,"45201","003002040","   8.1. 1","Л{НиМІ","Л{НиОs","ПЉЛі","УсТЪЦЏ","01",17,6,11,10
132,"45201","003002050","  13.1.  ","Л{НиМІ","Л{НиОs","ПЉЛі","УсТЪЦЏ","01",92,41,51,60
133,"45201","003002060","   7.1. 1","Л{НиМІ","Л{НиОs","ПЉЛі","УсТЪЦЏ","01",117,50,67,39
134,"45201","003002070","   8.1. 2","Л{НиМІ","Л{НиОs","ПЉЛі","УсТЪЦЏ","01",51,31,20,43
135,"45201","003002080","   7.1. 2","Л{НиМІ","Л{НиОs","ПЉЛі","УсТЪЦЏ","01",6,3,3,4
136,"45201","003002090","   3.1.  ","Л{НиМІ","Л{НиОs","ПЉЛі","УсТЪЦЏ","01",108,46,62,59
137,"45201","003002100","   1.1. 2","Л{НиМІ","Л{НиОs","ПЉЛі","УсТЪЦЏ","01",65,30,35,38
138,"45201","003002110","   1.1. 1","Л{НиМІ","Л{НиОs","ПЉЛі","УсТЪЦЏ","01",3,1,2,1
139,"45201","003002120","   2.1.  ","Л{НиМІ","Л{НиОs","ПЉЛі","УсТЪЦЏ","01",65,30,35,40
140,"45201","004001010","  25.1. 1","Л{НиМІ","Л{НиОs","ЦЦНL","ИкТЪЦЏ","01",7,3,4,6
141,"45201","004001020","  25.1. 2","Л{НиМІ","Л{НиОs","ЦЦНL","ИкТЪЦЏ","01",25,16,9,21
142,"45201","004001020","  26.1.  ","Л{НиМІ","Л{НиОs","ЦЦНL","ИкТЪЦЏ","01",79,36,43,49
143,"45201","004001020","  27.1.  ","Л{НиМІ","Л{НиОs","ЦЦНL","ИкТЪЦЏ","01",97,44,53,70
144,"45201","004001030","  23.1.  ","Л{НиМІ","Л{НиОs","ЦЦНL","ИкТЪЦЏ","01",40,20,20,33
145,"45201","004001040","  22.1.  ","Л{НиМІ","Л{НиОs","ЦЦНL","ИкТЪЦЏ","01",76,36,40,56
146,"45201","004001040","  24.1.  ","Л{НиМІ","Л{НиОs","ЦЦНL","ИкТЪЦЏ","01",46,23,23,27
147,"45201","004001050","  28.1. 1","Л{НиМІ","Л{НиОs","ЦЦНL","ИкТЪЦЏ","01",-,-,-,-
148,"45201","004001060","  21.1. 1","Л{НиМІ","Л{НиОs","ЦЦНL","ИкТЪЦЏ","01",9,5,4,3
149,"45201","004001070","  21.1. 2","Л{НиМІ","Л{НиОs","ЦЦНL","ИкТЪЦЏ","01",31,14,17,14
150,"45201","004001080","  21.1. 3","Л{НиМІ","Л{НиОs","ЦЦНL","ИкТЪЦЏ","01",56,28,28,42
151,"45201","004001090","  16.1.  ","Л{НиМІ","Л{НиОs","ЦЦНL","ИкТЪЦЏ","01",106,55,51,75
152,"45201","004001100","  10.1.  ","Л{НиМІ","Л{НиОs","ЦЦНL","ИкТЪЦЏ","01",48,18,30,41
153,"45201","004002010","   9.1.  ","Л{НиМІ","Л{НиОs","ЦЦНL","УсТЪЦЏ","01",97,47,50,59
154,"45201","004002010","  11.1.  ","Л{НиМІ","Л{НиОs","ЦЦНL","УсТЪЦЏ","01",48,31,17,45
155,"45201","004002010","  12.1.  ","Л{НиМІ","Л{НиОs","ЦЦНL","УсТЪЦЏ","01",49,29,20,42
156,"45201","004002020","   5.1.  ","Л{НиМІ","Л{НиОs","ЦЦНL","УсТЪЦЏ","01",67,29,38,47
157,"45201","004002020","   6.1.  ","Л{НиМІ","Л{НиОs","ЦЦНL","УсТЪЦЏ","01",59,24,35,34
158,"45201","004002030","   4.1.  ","Л{НиМІ","Л{НиОs","ЦЦНL","УсТЪЦЏ","01",96,45,51,80
159,"45201","005000010"," 335.1.11","Л{НиМІ","Л{НиОs","ТЖЙЫТ ","","01",-,-,-,-
160,"45201","005000020"," 335.1.12","Л{НиМІ","Л{НиОs","ТЖЙЫТ ","","01",-,-,-,-
161,"45201","005000030"," 335.1.13","Л{НиМІ","Л{НиОs","ТЖЙЫТ ","","01",1,-,1,1
162,"45201","005000040"," 335.1.14","Л{НиМІ","Л{НиОs","ТЖЙЫТ ","","01",-,-,-,-
163,"45201","005000050"," 335.1.15","Л{НиМІ","Л{НиОs","ТЖЙЫТ ","","01",-,-,-,-
164,"45201","005000060"," 335.1.16","Л{НиМІ","Л{НиОs","ТЖЙЫТ ","","01",12,5,7,8
165,"45201","005000070"," 335.1.17","Л{НиМІ","Л{НиОs","ТЖЙЫТ ","","01",14,8,6,8
166,"45201","005000080"," 335.1.18","Л{НиМІ","Л{НиОs","ТЖЙЫТ ","","01",2,1,1,2
167,"45201","006001010","  45.1.  ","Л{НиМІ","Л{НиОs","ТяУЗ","ИкТЪЦЏ","01",107,48,59,58
168,"45201","006001020","  47.1. 1","Л{НиМІ","Л{НиОs","ТяУЗ","ИкТЪЦЏ","01",16,9,7,15
169,"45201","006001030","  46.1. 1","Л{НиМІ","Л{НиОs","ТяУЗ","ИкТЪЦЏ","01",36,27,9,29
170,"45201","006001040","  46.1. 2","Л{НиМІ","Л{НиОs","ТяУЗ","ИкТЪЦЏ","01",48,18,30,29
171,"45201","006001050","  50.1. 1","Л{НиМІ","Л{НиОs","ТяУЗ","ИкТЪЦЏ","01",22,8,14,12
172,"45201","006001060","  50.1. 2","Л{НиМІ","Л{НиОs","ТяУЗ","ИкТЪЦЏ","01",28,14,14,20
173,"45201","006001070","  49.1.  ","Л{НиМІ","Л{НиОs","ТяУЗ","ИкТЪЦЏ","01",98,55,43,78
174,"45201","006001080","  51.1. 1","Л{НиМІ","Л{НиОs","ТяУЗ","ИкТЪЦЏ","01",11,4,7,5
175,"45201","006001090","  51.1. 2","Л{НиМІ","Л{НиОs","ТяУЗ","ИкТЪЦЏ","01",40,19,21,20
176,"45201","006001100","  50.1. 3","Л{НиМІ","Л{НиОs","ТяУЗ","ИкТЪЦЏ","01",46,26,20,33
177,"45201","006002010","  52.1. 1","Л{НиМІ","Л{НиОs","ТяУЗ","УсТЪЦЏ","01",17,7,10,9
178,"45201","006002020","  52.1. 2","Л{НиМІ","Л{НиОs","ТяУЗ","УсТЪЦЏ","01",31,11,20,24
179,"45201","006002030","  52.1. 3","Л{НиМІ","Л{НиОs","ТяУЗ","УсТЪЦЏ","01",24,14,10,14
180,"45201","006002040","  52.1. 4","Л{НиМІ","Л{НиОs","ТяУЗ","УсТЪЦЏ","01",53,22,31,28
181,"45201","006002050","  51.1. 3","Л{НиМІ","Л{НиОs","ТяУЗ","УсТЪЦЏ","01",19,8,11,7
182,"45201","006002060","  51.1. 4","Л{НиМІ","Л{НиОs","ТяУЗ","УсТЪЦЏ","01",8,3,5,5
183,"45201","006002070","  53.1. 1","Л{НиМІ","Л{НиОs","ТяУЗ","УсТЪЦЏ","01",6,2,4,2
184,"45201","006002080","  54.1. 1","Л{НиМІ","Л{НиОs","ТяУЗ","УсТЪЦЏ","01",39,19,20,23
185,"45201","006002090","  54.1. 2","Л{НиМІ","Л{НиОs","ТяУЗ","УсТЪЦЏ","01",47,21,26,22
186,"45201","006002100","  55.1. 1","Л{НиМІ","Л{НиОs","ТяУЗ","УсТЪЦЏ","01",22,12,10,7
187,"45201","006002110","  56.1. 3","Л{НиМІ","Л{НиОs","ТяУЗ","УсТЪЦЏ","01",49,27,22,25
188,"45201","006002120","  56.1. 1","Л{НиМІ","Л{НиОs","ТяУЗ","УсТЪЦЏ","01",18,7,11,12
189,"45201","006002130","  56.1. 2","Л{НиМІ","Л{НиОs","ТяУЗ","УсТЪЦЏ","01",23,12,11,11
190,"45201","006002140","  55.1. 3","Л{НиМІ","Л{НиОs","ТяУЗ","УсТЪЦЏ","01",58,28,30,32
191,"45201","006002150","  55.1. 2","Л{НиМІ","Л{НиОs","ТяУЗ","УсТЪЦЏ","01",40,21,19,21
192,"45201","006002160","  53.1. 2","Л{НиМІ","Л{НиОs","ТяУЗ","УсТЪЦЏ","01",35,15,20,27
193,"45201","006002170","  53.1. 3","Л{НиМІ","Л{НиОs","ТяУЗ","УсТЪЦЏ","01",64,27,37,40
194,"45201","006002180","  53.1. 4","Л{НиМІ","Л{НиОs","ТяУЗ","УсТЪЦЏ","01",42,18,24,12
195,"45201","006002190","  53.1. 5","Л{НиМІ","Л{НиОs","ТяУЗ","УсТЪЦЏ","01",10,4,6,7
196,"45201","006003010"," 304.1. 1","Л{НиМІ","Л{НиОs","ТяУЗ","ОOТЪЦЏ","01",69,26,43,35
197,"45201","006003020"," 304.1. 2","Л{НиМІ","Л{НиОs","ТяУЗ","ОOТЪЦЏ","01",63,26,37,36
198,"45201","006003030"," 306.1. 1","Л{НиМІ","Л{НиОs","ТяУЗ","ОOТЪЦЏ","01",53,23,30,29
199,"45201","006003040"," 306.1. 2","Л{НиМІ","Л{НиОs","ТяУЗ","ОOТЪЦЏ","01",19,4,15,8
200,"45201","006003050"," 305.1.  ","Л{НиМІ","Л{НиОs","ТяУЗ","ОOТЪЦЏ","01",150,61,89,67
